"FL_DATE","UNIQUE_CARRIER","TAIL_NUM","FL_NUM","ORIGIN_AIRPORT_ID","DEST_AIRPORT_ID","CRS_DEP_TIME","DEP_TIME","DEP_DELAY_NEW","WHEELS_OFF","WHEELS_ON","CRS_ARR_TIME","ARR_TIME","ARR_DELAY_NEW","AIR_TIME","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2015-01-01,"AA","N3KEAA","41",13930,14747,"2055","2054",0.00,"2110","2306","2325","2347",22.00,236.00,0.00,0.00,22.00,0.00,0.00,
2015-01-01,"AA","N3GPAA","42",14747,13930,"0850","0849",0.00,"0905","1426","1445","1433",0.00,201.00,,,,,,
2015-01-01,"AA","N3GXAA","371",14747,13303,"0100","0052",0.00,"0122","0933","0938","0939",1.00,311.00,,,,,,
2015-01-01,"AA","N3DRAA","1070",14747,13303,"2305","2342",37.00,"2356","0818","0739","0836",57.00,322.00,0.00,0.00,20.00,0.00,37.00,
2015-01-01,"AA","N3DRAA","235",12478,14747,"1835","1908",33.00,"1935","2245","2205","2252",47.00,370.00,33.00,0.00,14.00,0.00,0.00,
2015-01-01,"AA","N3HLAA","236",14747,12478,"0715","0710",0.00,"0729","1506","1530","1511",0.00,277.00,,,,,,
2015-01-01,"AA","N640AA","248",14747,11298,"0905","0901",0.00,"0920","1447","1455","1457",2.00,207.00,,,,,,
2015-01-01,"AA","N3JXAA","1093",11298,14747,"2220","2316",56.00,"2328","0110","0035","0118",43.00,222.00,43.00,0.00,0.00,0.00,0.00,
2015-01-01,"AA","N3DXAA","1094",14747,11298,"0555","0555",0.00,"0619","1155","1150","1206",16.00,216.00,0.00,0.00,16.00,0.00,0.00,
2015-01-01,"AA","N5EKAA","1017",11298,14747,"1755","1917",82.00,"1938","2117","2015","2123",68.00,219.00,17.00,0.00,0.00,0.00,51.00,
2015-01-01,"AA","N3BJAA","1146",11298,14747,"0745","0800",15.00,"0812","0946","1010","0952",0.00,214.00,,,,,,
